listing_id,building_name,full_address,street,city,state,zip,lat,lon,dist_to_campus_km,unit_label,beds,baths,sqft,rent_raw,rent_min,rent_max,price_type,is_per_bed,is_shared_bedroom,year_built,num_units,building_type,stories,has_in_unit_laundry,has_on_site_laundry,has_dishwasher,has_ac,has_heat_included,has_water_included,has_internet_included,is_furnished,has_gym,has_pool,has_rooftop_or_clubroom,has_parking_available,has_garage,pets_allowed,is_student_branded,available_date,lease_term,property_manager,scrape_date,source_url
umn_102817,"Cluster: 1011 & 1015 4th St SE 1011 & 1015 4th St SE, Minneapolis, MN 55414, USA         3 - 4 Bed  closeclose 1111111111111111111111111111111111111111111111111111111111111111111111111","1011 & 1015 4th St SE 1011 & 1015 4th St SE, Minneapolis, MN 55414",1011 & 1015 4th St SE 1011 & 1015 4th St SE,Minneapolis,MN,55414,,,,,3.0,,,$2095,2095.0,2095.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:07.998188,#
umn_57528,"Duplex Near UMN 1105 6th St SE, Minneapolis, MN 55414, USA         5 Bed  closeclose 11111111111111111111111111111","1105 6th St SE, Minneapolis, MN 55414",1105 6th St SE,Minneapolis,MN,55414,44.9840952,-93.2381042,1.23,,5.0,,,$3895,3895.0,3895.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.016073,#
umn_26482,717 University Ave SE,"717 University Ave SE, Minneapolis, MN 55414",717 University Ave SE,Minneapolis,MN,55414,44.9709383,-93.2152922,1.64,,1.0,,,$1049,1049.0,1049.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.032884,#
umn_233112,"1003 21st Ave SE, Minneapolis, MN 55414, USA 1003 21st Ave SE, Minneapolis, MN 55414, USA         5 Bed  closeclose 111111111111111111111111111111111111111","1003 21st Ave SE, Minneapolis, MN 55414",1003 21st Ave SE,Minneapolis,MN,55414,44.9880247,-93.2229469,1.95,,5.0,,,$2995,2995.0,2995.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.052716,#
umn_38198,"1208 Como Ave SE 1208 Como Ave SE, Minneapolis, MN 55414, USA         6 Bed  closeclose 11111111111111111111111111111111111111111","1208 Como Ave SE 1208 Como Ave SE, Minneapolis, MN 55414",1208 Como Ave SE 1208 Como Ave SE,Minneapolis,MN,55414,,,,,6.0,,,$4095,4095.0,4095.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.085794,#
umn_43706,2715 Dupont Ave S,"2715 Dupont Ave S, Minneapolis, MN 55408",2715 Dupont Ave S,Minneapolis,MN,55408,44.9531931,-93.2928179,5.0,,1.0,,,$1049,1049.0,1049.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.121619,#
umn_9600,"1315 7th Street SE 1315 7th St SE, Minneapolis, MN  55414, United States         5 Bed  closeclose 1111111111111111111111111111111111111","1315 7th Street SE 1315 7th St SE, Minneapolis, MN 55414",1315 7th Street SE 1315 7th St SE,Minneapolis,MN,55414,,,,,5.0,2.0,,$3875,3875.0,3875.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.153434,#
umn_9718,"837 15th Avenue SE Minneapolis, MN 55414 USA 837 15th Avenue SE Minneapolis, MN 55414 USA         3 Bed  closeclose 11111111111111111111111","837 15th Avenue SE, Minneapolis, MN 55414",837 15th Avenue SE,Minneapolis,MN,55414,44.9847667,-93.2306837,1.36,,3.0,,,$2400,2400.0,2400.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.170392,#
umn_51564,"505 8th St SE 505 8th St SE, Minneapolis, MN 55414, USA         5 Bed  closeclose 11111111111111111111111111111111111","505 8th St SE 505 8th St SE, Minneapolis, MN 55414",505 8th St SE 505 8th St SE,Minneapolis,MN,55414,,,,,5.0,,,$2650,2650.0,2650.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.845974,#
umn_233799,"869 19th Ave SE Duplex 869 19th Ave SE, Minneapolis, MN 55414, USA         5 - 6 Bed  closeclose 1111111111111111111111111111111111111111111","869 19th Ave SE Duplex 869 19th Ave SE, Minneapolis, MN 55414",869 19th Ave SE Duplex 869 19th Ave SE,Minneapolis,MN,55414,,,,,5.0,,,$3750,3750.0,3750.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.863306,#
umn_9557,"600 11th Ave SE 600 11th Ave SE, Minneapolis, MN 55414         7 Bed  closeclose 111","600 11th Ave SE 600 11th Ave SE, Minneapolis, MN 55414",600 11th Ave SE 600 11th Ave SE,Minneapolis,MN,55414,,,,,7.0,3.0,,$3850,3850.0,3850.0,total,False,,,,,,,,,,,,,,,,,,,,True,,,,2025-11-29T01:12:08.879272,#
